country;date;temperature_avg;temperature_min;temperature_max;precipitation;snow_depth
Sweden;2017-08-17;15.08888889;7.656422018;20.2086758;3.476079734;0.0
Finland;2016-03-19;-6.210714286;-11.24539474;-2.143137255;0.037878788;402.0
Sweden;2016-03-25;2.52;-1.950224215;4.239013453;1.23983871;166.8421053
Norway;2017-02-09;-5.989473684;-9.090677966;-3.742735043;0.323809524;172.2222222
Finland;2019-09-30;8.742857143;6.467320261;10.5;6.031284916;7.5
Sweden;2019-04-24;10.96666667;2.906511628;16.96418605;0.004123711;38.57534247
Sweden;2015-07-27;13.81;10.56540084;16.46751055;2.236025848;0.0
Norway;2018-07-07;12.73157895;10.22244898;17.57326733;0.083665339;0.0
Finland;2019-02-21;-14.56071429;-16.98310811;-7.819333333;0.029885057;450.2173913
Norway;2015-08-08;12.66111111;10.72803738;17.22636364;1.842960289;0.0
Sweden;2016-01-22;-8.7;-18.32964602;-7.534666667;0.101288245;256.7486339
Finland;2019-05-26;7.575;5.053333333;9.974834437;4.931638418;7.5
Norway;2018-11-30;4.131578947;1.890566038;6.877142857;7.886831276;22.47979798
Sweden;2015-03-06;2.95;-1.5668;5.8564;0.673174603;192.8381963
Finland;2017-02-28;-3.096428571;-9.567105263;-0.882119205;4.416230366;511.8823529
Finland;2017-11-22;-7.882142857;-9.149350649;-4.574342105;0.46344086;121.4444444
Finland;2019-10-23;5.059259259;2.767105263;6.916339869;0.225139665;39.1
Finland;2018-04-20;4.364285714;-0.497350993;8.634437086;3.789130435;554.9090909
Finland;2016-02-08;1.339285714;-1.319480519;2.191503268;3.797;406.0
Sweden;2019-02-28;1.222222222;-2.894009217;5.487614679;0.12864494;190.8311688
Finland;2015-08-16;13.34285714;6.759868421;19.60328947;5.07614E-4;0.0
Sweden;2018-04-24;5.711111111;3.082568807;8.552995392;1.621621622;160.5978261
Sweden;2017-06-14;14.94444444;7.732420091;20.60904977;0.658910891;0.0
Finland;2017-01-31;-4.65;-8.210526316;-0.562091503;0.124736842;348.6666667
Norway;2017-12-03;-0.872222222;-2.748148148;3.325925926;4.308955224;161.8940092
Finland;2015-01-24;-8.346428571;-14.44387097;-5.338064516;1.434517766;315.7272727
Sweden;2017-02-25;-3.055555556;-9.198666667;0.121428571;3.103588907;186.9529086
Norway;2018-03-05;-7.136842105;-9.053333333;-3.841509434;0.878787879;547.6923077
Sweden;2018-11-30;2.5;-0.162385321;2.797685185;2.219795222;2.830687831
Norway;2017-04-09;3.494736842;0.175;8.111206897;4.582181818;133.1917808
Sweden;2017-11-27;1.011111111;-3.660091743;0.989954338;4.556661046;92.55494505
Finland;2019-12-23;0.42962963;-1.137908497;1.308441558;0.904494382;117.6470588
Sweden;2017-07-11;15.45555556;10.83256881;19.89724771;3.612437811;0.0
Sweden;2015-01-05;-4.27;-9.544488189;-3.02745098;0.515600624;79.73614776
Norway;2015-08-24;15.26666667;11.2559633;21.12090909;5.413768116;0.0
Norway;2015-08-22;14.92777778;10.44;21.60642202;0.15326087;0.0
Finland;2017-12-19;-3.314285714;-6.598039216;-0.648;1.146486486;284.5625
Finland;2016-09-28;11.31428571;9.829605263;12.66973684;8.370918367;0.0
Sweden;2016-12-31;5.4;1.531838565;5.697321429;1.674350649;101.3466334
Sweden;2016-10-09;6.58;3.555555556;7.161504425;2.806957929;0.027247956
Norway;2015-10-02;7.211111111;6.106481481;11.43153153;3.801818182;0.182648402
Finland;2019-03-26;-3.978571429;-8.820805369;0.93;0.046892655;495.5
Norway;2016-02-28;-3.815789474;-7.030357143;1.509734513;0.846153846;387.6
Norway;2016-03-19;0.121052632;-2.473684211;4.666086957;2.682116788;279.3150685
Norway;2019-09-19;5.294736842;2.123076923;8.656730769;4.191139241;0.335195531
Finland;2017-12-25;-8.596428571;-11.88145695;-5.622222222;4.137297297;387.0
Finland;2018-07-16;22.21071429;14.13856209;28.1503268;0.003910615;0.0
Finland;2017-05-13;3.146428571;-2.640131579;7.692857143;0.237234043;525.7142857
Norway;2015-06-27;10.70555556;6.852727273;15.71818182;0.161151079;0.0
Norway;2017-04-01;1.626315789;0.775652174;7.536842105;3.932116788;186.7072072
Finland;2016-02-01;-3.810714286;-6.498684211;-0.969078947;1.94822335;403.0
Finland;2018-03-19;-4.142857143;-7.496;-0.441447368;0.844505495;538.6363636
Norway;2015-01-25;-3.263157895;-6.649090909;0.312962963;6.274820144;413.0091324
Finland;2019-04-27;8.214285714;2.286754967;14.75163399;0.001704545;212.5714286
Sweden;2015-03-08;5.82;2.5388;8.5028;0.433174603;175.6164384
Sweden;2019-10-26;5.333333333;1.794009217;7.294470046;5.331929825;7.994100295
Sweden;2018-03-04;-6.411111111;-10.36164384;-4.51369863;0.66;490.115942
Sweden;2015-12-05;5.65;-3.3616;5.7576;4.153140097;73.63128492
Norway;2018-01-02;-2.522222222;-4.17961165;0.846666667;1.836226415;276.3302326
Sweden;2018-01-22;-7.711111111;-14.22648402;-7.519634703;0.141652614;377.4867725
Norway;2015-03-16;2.772222222;0.665765766;6.894594595;0.083333333;284.5
Sweden;2015-08-13;14.45;6.490416667;19.46970954;0.02992;0.0
Norway;2018-11-17;4.031578947;3.179207921;7.297087379;0.213278008;2.437837838
Sweden;2017-06-03;9.355555556;3.158371041;14.46545455;0.623927393;0.0
Sweden;2017-10-08;6.066666667;2.287272727;8.046363636;3.104507513;0.0
Finland;2016-01-21;-25.14642857;-27.85096774;-19.63921569;0.088383838;289.6
Finland;2018-10-09;7.8;4.398684211;9.27615894;3.111666667;34.57142857
Sweden;2018-12-27;0.922222222;-2.799069767;2.24372093;0.658673469;131.1781609
Norway;2018-04-09;0.426315789;-0.602803738;4.019444444;2.176806084;498.7837838
Norway;2019-12-07;-1.984210526;-2.640196078;2.195238095;8.477310924;138.6296296
Sweden;2019-07-11;15.22222222;9.093953488;21.1162037;0.595470383;0.0
Finland;2017-07-18;13.46071429;10.74078947;17.83398693;4.163297872;0.0
Sweden;2016-01-06;-14.5;-20.994;-14.5247012;0.358454106;130.8333333
Norway;2019-01-03;-0.773684211;-4.782;2.017821782;5.94893617;144.9685864
Finland;2019-09-17;6.35;3.848026316;9.752597403;0.737640449;0.0
Sweden;2015-10-11;5.19;0.538;9.369721116;0.180707395;0.0
Finland;2015-09-02;9.467857143;5.954966887;13.25789474;1.134517766;0.0
Norway;2016-11-13;0.7;-1.01965812;3.687179487;1.645421245;77.38938053
Sweden;2018-12-25;0.6;-7.357476636;2.023943662;0.409693878;142.4068768
Finland;2019-02-05;-11.84642857;-16.85333333;-7.812;2.912280702;478.7
Norway;2017-11-13;0.522222222;-2.020952381;3.137962963;3.550187266;53.14159292
Sweden;2015-11-12;5.2;-0.082539683;4.53452381;1.079614767;6.318537859
Norway;2019-10-13;2.926315789;1.198076923;7.162264151;4.537238494;1.833333333
Finland;2018-11-04;3.071428571;-0.136986301;5.331034483;0.32849162;58.875
Finland;2018-10-24;-0.360714286;-2.438194444;2.568965517;0.45698324;5.0
Norway;2015-11-18;0.011111111;-1.049090909;3.396460177;3.652536232;35.46296296
Sweden;2015-08-16;16.31;9.258158996;20.93416667;0.00288;0.0
Finland;2016-04-14;-0.810714286;-5.498675497;3.738815789;0.004040404;526.8571429
Finland;2017-04-30;1.166666667;-1.659602649;4.101298701;1.783684211;376.3
Sweden;2016-11-04;-1.57;-5.057333333;-0.633333333;2.997568882;26.46596859
Sweden;2018-08-10;18.625;13.08047619;21.89198113;3.385324232;0.0
Sweden;2016-05-06;10.19;1.526106195;16.93244444;0.006148867;17.9245283
Norway;2019-04-25;9.626315789;6.341176471;14.99519231;0.837344398;44.71428571
Finland;2017-11-27;0.5;-1.324342105;1.530718954;2.765775401;226.0
Sweden;2019-11-24;1.811111111;0.744651163;2.773148148;0.278734622;47.24340176
Norway;2017-09-06;11.50526316;10.46574074;14.95090909;7.366304348;0.0
Finland;2017-09-15;8.107142857;6.038815789;10.71633987;3.457978723;0.0
Norway;2019-08-13;11.56315789;10.38585859;15.19509804;3.90875;0.0
Norway;2019-03-14;-2.968421053;-5.232352941;1.582524272;0.865106383;358.2146597
Finland;2015-02-27;0.1;-1.105128205;1.093589744;0.230808081;375.35
Finland;2018-01-29;-5.146428571;-7.245695364;-3.470394737;0.954945055;437.7222222
Finland;2016-10-19;2.767857143;0.740131579;5.422222222;0.093193717;0.0
Finland;2018-08-22;12.38928571;5.498684211;17.20392157;3.758426966;0.0
Norway;2019-03-17;-2.168421053;-4.595192308;1.553846154;3.780769231;369.0962567
